	(1)
VARIABLES	lfpr
	
	(0.29)
3o.smartcat#0b.agecat#3o.poor	0.00
	(0.00)
3.smartcat#1.agecat#1b.poor	0.03
	(0.13)
3.smartcat#1.agecat#2.poor	0.17
	(0.15)
3o.smartcat#1o.agecat#3o.poor	0.00
	(0.00)
3.smartcat#2.agecat#1b.poor	-0.22
	(0.19)
3.smartcat#2.agecat#2.poor	-0.28
	(0.22)
3o.smartcat#2o.agecat#3o.poor	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.urban	0.00
	(0.00)
1b.smartcat#0b.agecat#1.urban	0.03
	(0.03)
1b.smartcat#1o.agecat#0b.urban	0.00
	(0.00)
1b.smartcat#1.agecat#1.urban	-0.04*
	(0.02)
1b.smartcat#2o.agecat#0b.urban	0.00
	(0.00)
1b.smartcat#2.agecat#1.urban	-0.21***
	(0.04)
2.smartcat#0b.agecat#0b.urban	-0.10
	(0.08)
2o.smartcat#0b.agecat#1o.urban	0.00
	(0.00)
2.smartcat#1.agecat#0b.urban	-0.09**
	(0.05)
2o.smartcat#1o.agecat#1o.urban	0.00
	(0.00)
2.smartcat#2.agecat#0b.urban	0.08*
	(0.05)
2o.smartcat#2o.agecat#1o.urban	0.00
	(0.00)
3.smartcat#0b.agecat#0b.urban	-0.13
	(0.15)
3o.smartcat#0b.agecat#1o.urban	0.00
	(0.00)
3.smartcat#1.agecat#0b.urban	-0.02
	(0.09)
3o.smartcat#1o.agecat#1o.urban	0.00
	(0.00)
3.smartcat#2.agecat#0b.urban	-0.05
	(0.11)
3o.smartcat#2o.agecat#1o.urban	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.pref_accept	0.00
	(0.00)
1b.smartcat#0b.agecat#1.pref_accept	0.07
	(0.05)
1b.smartcat#1o.agecat#0b.pref_accept	0.00
	(0.00)
1b.smartcat#1.agecat#1.pref_accept	0.11***
	(0.03)
1b.smartcat#2o.agecat#0b.pref_accept	0.00
	(0.00)
1b.smartcat#2.agecat#1.pref_accept	0.01
	(0.07)
2.smartcat#0b.agecat#0b.pref_accept	0.05
	(0.30)
2o.smartcat#0b.agecat#1o.pref_accept	0.00
	(0.00)
2.smartcat#1.agecat#0b.pref_accept	-0.39***
	(0.12)
2o.smartcat#1o.agecat#1o.pref_accept	0.00
	(0.00)
2.smartcat#2.agecat#0b.pref_accept	0.00
	(0.14)
2o.smartcat#2o.agecat#1o.pref_accept	0.00
	(0.00)
3.smartcat#0b.agecat#0b.pref_accept	-0.29
	(0.28)
3o.smartcat#0b.agecat#1o.pref_accept	0.00
	(0.00)
3.smartcat#1.agecat#0b.pref_accept	-0.01
	(0.17)
3o.smartcat#1o.agecat#1o.pref_accept	0.00
	(0.00)
3.smartcat#2.agecat#0b.pref_accept	0.06
	(0.31)
3o.smartcat#2o.agecat#1o.pref_accept	0.00
	(0.00)
1b.smartcat#0b.agecat#1b.challenge	0.00
	(0.00)
1b.smartcat#0b.agecat#2.challenge	-0.33***
	(0.07)
1b.smartcat#0b.agecat#3.challenge	-0.21***
	(0.08)
1b.smartcat#0b.agecat#4.challenge	-0.26***
	(0.09)
1b.smartcat#0b.agecat#5.challenge	-0.24***
	(0.07)
1b.smartcat#0b.agecat#6.challenge	-0.23***
	(0.08)
1b.smartcat#0b.agecat#7.challenge	-0.10
	(0.10)
1b.smartcat#0b.agecat#8.challenge	-0.40***
	(0.13)
1b.smartcat#0b.agecat#9.challenge	-0.22*
	(0.12)
1b.smartcat#0b.agecat#10.challenge	-0.18
	(0.11)
1b.smartcat#0b.agecat#97.challenge	-0.16*
	(0.09)
1b.smartcat#0b.agecat#98.challenge	-0.35***
	(0.07)
1b.smartcat#1o.agecat#1b.challenge	0.00
	(0.00)
1b.smartcat#1.agecat#2.challenge	-0.04
	(0.04)
1b.smartcat#1.agecat#3.challenge	-0.07
	(0.05)
1b.smartcat#1.agecat#4.challenge	-0.14**
	(0.06)
1b.smartcat#1.agecat#5.challenge	-0.03
	(0.05)
1b.smartcat#1.agecat#6.challenge	0.06
	(0.05)
1b.smartcat#1.agecat#7.challenge	0.04
	(0.07)
1b.smartcat#1.agecat#8.challenge	-0.21**
	(0.09)
1b.smartcat#1.agecat#9.challenge	0.00
	(0.09)
1b.smartcat#1.agecat#10.challenge	-0.03
	(0.07)
1b.smartcat#1.agecat#97.challenge	0.01
	(0.06)
1b.smartcat#1.agecat#98.challenge	-0.06
	(0.05)
1b.smartcat#2o.agecat#1b.challenge	0.00
	(0.00)
1b.smartcat#2.agecat#2.challenge	-0.03
	(0.08)
1b.smartcat#2.agecat#3.challenge	0.02
	(0.10)
1b.smartcat#2.agecat#4.challenge	-0.06
	(0.13)
1b.smartcat#2.agecat#5.challenge	-0.05
	(0.10)
1b.smartcat#2.agecat#6.challenge	-0.02
	(0.09)
1b.smartcat#2.agecat#7.challenge	-0.06
	(0.12)
1b.smartcat#2.agecat#8.challenge	0.04
	(0.15)
1b.smartcat#2.agecat#9.challenge	0.01
	(0.15)
1b.smartcat#2.agecat#10.challenge	0.34**
	(0.14)
1b.smartcat#2.agecat#97.challenge	-0.12
	(0.10)
1b.smartcat#2.agecat#98.challenge	-0.06
	(0.09)
2.smartcat#0b.agecat#1b.challenge	0.01
	(0.23)
2.smartcat#0b.agecat#2.challenge	-0.01
	(0.16)
2.smartcat#0b.agecat#3.challenge	-0.09
	(0.25)
2.smartcat#0b.agecat#4.challenge	-0.42
	(0.34)
2.smartcat#0b.agecat#5.challenge	0.15
	(0.18)
2.smartcat#0b.agecat#6.challenge	0.13
	(0.22)
2.smartcat#0b.agecat#7.challenge	0.05
	(0.17)
2.smartcat#0b.agecat#8.challenge	-0.80
	(0.56)
2.smartcat#0b.agecat#9.challenge	-0.16
	(0.22)
2.smartcat#0b.agecat#10.challenge	0.43
	(0.36)
2.smartcat#0b.agecat#97.challenge	0.12
	(0.18)
2o.smartcat#0b.agecat#98o.challenge	0.00
	(0.00)
2.smartcat#1.agecat#1b.challenge	0.33***
	(0.12)
2.smartcat#1.agecat#2.challenge	0.31***
	(0.09)
2.smartcat#1.agecat#3.challenge	0.16
	(0.11)
2.smartcat#1.agecat#4.challenge	0.14
	(0.22)
2.smartcat#1.agecat#5.challenge	0.17
	(0.11)
2.smartcat#1.agecat#6.challenge	0.43***
	(0.11)
2.smartcat#1.agecat#7.challenge	0.36***
	(0.10)
2.smartcat#1.agecat#8.challenge	0.96**
	(0.38)
2.smartcat#1.agecat#9.challenge	0.20
	(0.15)
2.smartcat#1.agecat#10.challenge	0.38
	(0.25)
2.smartcat#1.agecat#97.challenge	0.33***
	(0.11)
2o.smartcat#1o.agecat#98o.challenge	0.00
	(0.00)
2.smartcat#2.agecat#1b.challenge	0.05
	(0.12)
2.smartcat#2.agecat#2.challenge	0.19**
	(0.09)
2.smartcat#2.agecat#3.challenge	0.15
	(0.12)
2.smartcat#2.agecat#4.challenge	0.16
	(0.25)
2.smartcat#2.agecat#5.challenge	0.11
	(0.12)
2.smartcat#2.agecat#6.challenge	0.06
	(0.12)
2.smartcat#2.agecat#7.challenge	0.25***
	(0.10)
2.smartcat#2.agecat#8.challenge	0.53
	(0.34)
2.smartcat#2.agecat#9.challenge	0.21
	(0.14)
2.smartcat#2.agecat#10.challenge	-0.17
	(0.20)
2.smartcat#2.agecat#97.challenge	-0.01
	(0.10)
2o.smartcat#2o.agecat#98o.challenge	0.00
	(0.00)
3.smartcat#0b.agecat#1b.challenge	-0.15
	(0.31)
3.smartcat#0b.agecat#2.challenge	-0.02
	(0.23)
3.smartcat#0b.agecat#3.challenge	-0.64
	(0.40)
3.smartcat#0b.agecat#4.challenge	-0.31
	(0.32)
3.smartcat#0b.agecat#5.challenge	-0.32
	(0.28)
3.smartcat#0b.agecat#6.challenge	0.70**
	(0.31)
3.smartcat#0b.agecat#7.challenge	-0.13
	(0.32)
3.smartcat#0b.agecat#8.challenge	-0.05
	(0.30)
3.smartcat#0b.agecat#9.challenge	-0.20
	(0.38)
3.smartcat#0b.agecat#10.challenge	-0.50
	(0.69)
3.smartcat#0b.agecat#97.challenge	0.15
	(0.30)
3o.smartcat#0b.agecat#98o.challenge	0.00
	(0.00)
3.smartcat#1.agecat#1b.challenge	0.38**
	(0.19)
3.smartcat#1.agecat#2.challenge	0.20
	(0.15)
3.smartcat#1.agecat#3.challenge	0.04
	(0.19)
3.smartcat#1.agecat#4.challenge	0.03
	(0.25)
3.smartcat#1.agecat#5.challenge	0.29
	(0.19)
3.smartcat#1.agecat#6.challenge	0.18
	(0.20)
3.smartcat#1.agecat#7.challenge	0.30
	(0.20)
3.smartcat#1.agecat#8.challenge	0.26
	(0.25)
3.smartcat#1.agecat#9.challenge	0.52*
	(0.27)
3.smartcat#1.agecat#10.challenge	0.06
	(0.39)
3.smartcat#1.agecat#97.challenge	0.07
	(0.19)
3o.smartcat#1o.agecat#98o.challenge	0.00
	(0.00)
3.smartcat#2.agecat#1b.challenge	0.36
	(0.25)
3.smartcat#2.agecat#2.challenge	-0.21
	(0.17)
3.smartcat#2.agecat#3.challenge	-0.03
	(0.21)
3.smartcat#2.agecat#4.challenge	-0.07
	(0.51)
3.smartcat#2.agecat#5.challenge	0.01
	(0.25)
3.smartcat#2.agecat#6.challenge	-0.40
	(0.26)
3.smartcat#2.agecat#7.challenge	-0.01
	(0.23)
3.smartcat#2.agecat#8.challenge	-0.08
	(0.57)
3.smartcat#2.agecat#9.challenge	0.02
	(0.43)
3.smartcat#2.agecat#10.challenge	-0.41
	(0.53)
3.smartcat#2.agecat#97.challenge	-0.37*
	(0.22)
3o.smartcat#2o.agecat#98o.challenge	0.00
	(0.00)
1b.smartcat#0b.agecat#1.religion	0.34***
	(0.12)
1b.smartcat#0b.agecat#2.religion	0.18
	(0.12)
1b.smartcat#0b.agecat#3.religion	-0.02
	(0.12)
1b.smartcat#0b.agecat#4.religion	0.07
	(0.16)
1b.smartcat#0b.agecat#5b.religion	0.00
	(0.00)
1b.smartcat#1.agecat#1.religion	-0.22**
	(0.09)
1b.smartcat#1.agecat#2.religion	-0.21**
	(0.09)
1b.smartcat#1.agecat#3.religion	-0.41***
	(0.09)
1b.smartcat#1.agecat#4.religion	-0.25**
	(0.13)
1b.smartcat#1o.agecat#5b.religion	0.00
	(0.00)
1b.smartcat#2.agecat#1.religion	0.05
	(0.17)
1b.smartcat#2.agecat#2.religion	0.11
	(0.16)
1b.smartcat#2.agecat#3.religion	-0.18
	(0.17)
1b.smartcat#2.agecat#4.religion	0.15
	(0.19)
1b.smartcat#2o.agecat#5b.religion	0.00
	(0.00)
2.smartcat#0b.agecat#1.religion	-0.17
	(0.14)
2.smartcat#0b.agecat#2.religion	-0.02
	(0.10)
2.smartcat#0b.agecat#3.religion	-0.26
	(0.21)
2.smartcat#0b.agecat#4.religion	0.62
	(0.61)
2o.smartcat#0b.agecat#5b.religion	0.00
	(0.00)
2.smartcat#1.agecat#1.religion	0.10
	(0.09)
2.smartcat#1.agecat#2.religion	0.07
	(0.06)
2.smartcat#1.agecat#3.religion	-0.25*
	(0.14)
2.smartcat#1.agecat#4.religion	0.02
	(0.29)
2o.smartcat#1o.agecat#5b.religion	0.00
	(0.00)
2.smartcat#2.agecat#1.religion	0.10
	(0.09)
2.smartcat#2.agecat#2.religion	-0.24***
	(0.06)
2.smartcat#2.agecat#3.religion	-0.10
	(0.23)
2.smartcat#2.agecat#4.religion	-0.15
	(0.42)
2o.smartcat#2o.agecat#5b.religion	0.00
	(0.00)
3.smartcat#0b.agecat#1.religion	-0.20
	(0.28)
3.smartcat#0b.agecat#2.religion	0.19
	(0.23)
3o.smartcat#0b.agecat#3o.religion	0.00
	(0.00)
3o.smartcat#0b.agecat#4o.religion	0.00
	(0.00)
3o.smartcat#0b.agecat#5b.religion	0.00
	(0.00)
3.smartcat#1.agecat#1.religion	-0.11
	(0.17)
3.smartcat#1.agecat#2.religion	0.23
	(0.15)
3o.smartcat#1o.agecat#3o.religion	0.00
	(0.00)
3o.smartcat#1o.agecat#4o.religion	0.00
	(0.00)
3o.smartcat#1o.agecat#5b.religion	0.00
	(0.00)
3.smartcat#2.agecat#1.religion	-0.01
	(0.16)
