	(1)
2.devcat#1.agecat#2.challenge	0.05
	(0.05)
2.devcat#1.agecat#3.challenge	0.07
	(0.05)
2.devcat#1.agecat#4.challenge	-0.12*
	(0.07)
2.devcat#1.agecat#5.challenge	0.10*
	(0.05)
2.devcat#1.agecat#6.challenge	0.13**
	(0.05)
2.devcat#1.agecat#7.challenge	0.09
	(0.08)
2.devcat#1.agecat#8.challenge	0.01
	(0.11)
2.devcat#1.agecat#9.challenge	0.04
	(0.10)
2.devcat#1.agecat#10.challenge	-0.02
	(0.09)
2.devcat#1.agecat#97.challenge	0.15**
	(0.06)
2o.devcat#1o.agecat#98o.challenge	0.00
	(0.00)
2.devcat#2.agecat#1b.challenge	0.03
	(0.09)
2.devcat#2.agecat#2.challenge	0.03
	(0.07)
2.devcat#2.agecat#3.challenge	0.05
	(0.09)
2.devcat#2.agecat#4.challenge	-0.12
	(0.14)
2.devcat#2.agecat#5.challenge	0.03
	(0.10)
2.devcat#2.agecat#6.challenge	0.07
	(0.07)
2.devcat#2.agecat#7.challenge	-0.00
	(0.11)
2.devcat#2.agecat#8.challenge	0.10
	(0.15)
2.devcat#2.agecat#9.challenge	0.03
	(0.15)
2.devcat#2.agecat#10.challenge	0.51***
	(0.15)
2.devcat#2.agecat#97.challenge	-0.01
	(0.08)
2o.devcat#2o.agecat#98o.challenge	0.00
	(0.00)
3o.devcat#0b.agecat#1b.challenge	0.00
	(0.00)
3.devcat#0b.agecat#2.challenge	0.06
	(0.18)
3.devcat#0b.agecat#3.challenge	-0.26
	(0.24)
3.devcat#0b.agecat#4.challenge	-0.33
	(0.32)
3.devcat#0b.agecat#5.challenge	0.14
	(0.20)
3.devcat#0b.agecat#6.challenge	0.30
	(0.23)
3.devcat#0b.agecat#7.challenge	0.07
	(0.19)
3.devcat#0b.agecat#8.challenge	-0.82
	(0.53)
3.devcat#0b.agecat#9.challenge	-0.14
	(0.23)
3.devcat#0b.agecat#10.challenge	0.45
	(0.35)
3.devcat#0b.agecat#97.challenge	0.14
	(0.20)
3.devcat#0b.agecat#98.challenge	0.05
	(0.21)
3.devcat#1.agecat#1b.challenge	0.33***
	(0.11)
3.devcat#1.agecat#2.challenge	0.29***
	(0.08)
3.devcat#1.agecat#3.challenge	0.11
	(0.10)
3.devcat#1.agecat#4.challenge	0.22
	(0.20)
3.devcat#1.agecat#5.challenge	0.14
	(0.10)
3.devcat#1.agecat#6.challenge	0.41***
	(0.11)
3.devcat#1.agecat#7.challenge	0.34***
	(0.09)
3.devcat#1.agecat#8.challenge	0.83**
	(0.35)
3.devcat#1.agecat#9.challenge	0.23*
	(0.14)
3.devcat#1.agecat#10.challenge	0.38*
	(0.23)
3.devcat#1.agecat#97.challenge	0.31***
	(0.10)
3o.devcat#1o.agecat#98o.challenge	0.00
	(0.00)
3.devcat#2.agecat#1b.challenge	0.07
	(0.11)
3.devcat#2.agecat#2.challenge	0.11
	(0.08)
3.devcat#2.agecat#3.challenge	0.10
	(0.10)
3.devcat#2.agecat#4.challenge	0.10
	(0.23)
3.devcat#2.agecat#5.challenge	0.07
	(0.11)
3.devcat#2.agecat#6.challenge	-0.03
	(0.11)
3.devcat#2.agecat#7.challenge	0.20**
	(0.09)
3.devcat#2.agecat#8.challenge	0.48
	(0.32)
3.devcat#2.agecat#9.challenge	0.14
	(0.14)
3.devcat#2.agecat#10.challenge	-0.22
	(0.19)
3.devcat#2.agecat#97.challenge	-0.09
	(0.09)
3o.devcat#2o.agecat#98o.challenge	0.00
	(0.00)
4o.devcat#0b.agecat#1b.challenge	0.00
	(0.00)
4.devcat#0b.agecat#2.challenge	0.02
	(0.20)
4.devcat#0b.agecat#3.challenge	0.18
	(0.32)
4.devcat#0b.agecat#4.challenge	-0.04
	(0.24)
4.devcat#0b.agecat#5.challenge	-0.03
	(0.21)
4.devcat#0b.agecat#6.challenge	0.23
	(0.24)
4.devcat#0b.agecat#7.challenge	0.33
	(0.34)
4.devcat#0b.agecat#8.challenge	0.10
	(0.26)
4.devcat#0b.agecat#9.challenge	0.26
	(0.42)
