	(1)
VARIABLES	lfpr
	
2.smartcat#1.agecat#7.challenge	0.19***
	(0.06)
2.smartcat#1.agecat#8.challenge	0.04
	(0.13)
2.smartcat#1.agecat#9.challenge	0.11
	(0.09)
2.smartcat#1.agecat#10.challenge	0.05
	(0.10)
2.smartcat#1.agecat#97.challenge	0.20***
	(0.06)
2o.smartcat#1o.agecat#98o.challenge	0.00
	(0.00)
2.smartcat#2.agecat#1b.challenge	0.00
	(0.08)
2.smartcat#2.agecat#2.challenge	0.07
	(0.06)
2.smartcat#2.agecat#3.challenge	0.11
	(0.08)
2.smartcat#2.agecat#4.challenge	0.01
	(0.15)
2.smartcat#2.agecat#5.challenge	0.03
	(0.08)
2.smartcat#2.agecat#6.challenge	0.10
	(0.07)
2.smartcat#2.agecat#7.challenge	0.11
	(0.07)
2.smartcat#2.agecat#8.challenge	0.17
	(0.16)
2.smartcat#2.agecat#9.challenge	0.14
	(0.11)
2.smartcat#2.agecat#10.challenge	0.34***
	(0.12)
2.smartcat#2.agecat#97.challenge	-0.05
	(0.07)
2o.smartcat#2o.agecat#98o.challenge	0.00
	(0.00)
3.smartcat#0b.agecat#1b.challenge	0.38***
	(0.12)
3.smartcat#0b.agecat#2.challenge	0.06
	(0.09)
3.smartcat#0b.agecat#3.challenge	0.17
	(0.12)
3.smartcat#0b.agecat#4.challenge	-0.06
	(0.13)
3.smartcat#0b.agecat#5.challenge	0.09
	(0.10)
3.smartcat#0b.agecat#6.challenge	0.23**
	(0.12)
3.smartcat#0b.agecat#7.challenge	0.26*
	(0.15)
3.smartcat#0b.agecat#8.challenge	-0.09
	(0.16)
3.smartcat#0b.agecat#9.challenge	0.20
	(0.20)
3.smartcat#0b.agecat#10.challenge	0.13
	(0.18)
3.smartcat#0b.agecat#97.challenge	0.26**
	(0.12)
3o.smartcat#0b.agecat#98o.challenge	0.00
	(0.00)
3.smartcat#1.agecat#1b.challenge	0.23***
	(0.07)
3.smartcat#1.agecat#2.challenge	0.12**
	(0.06)
3.smartcat#1.agecat#3.challenge	0.05
	(0.07)
3.smartcat#1.agecat#4.challenge	0.06
	(0.09)
3.smartcat#1.agecat#5.challenge	0.12*
	(0.07)
3.smartcat#1.agecat#6.challenge	0.21***
	(0.08)
3.smartcat#1.agecat#7.challenge	0.24**
	(0.09)
3.smartcat#1.agecat#8.challenge	0.13
	(0.11)
3.smartcat#1.agecat#9.challenge	0.23*
	(0.12)
3.smartcat#1.agecat#10.challenge	0.11
	(0.12)
3.smartcat#1.agecat#97.challenge	0.17**
	(0.08)
3o.smartcat#1o.agecat#98o.challenge	0.00
	(0.00)
3.smartcat#2.agecat#1b.challenge	0.12
	(0.13)
3.smartcat#2.agecat#2.challenge	-0.07
	(0.09)
3.smartcat#2.agecat#3.challenge	0.00
	(0.11)
3.smartcat#2.agecat#4.challenge	-0.10
	(0.18)
3.smartcat#2.agecat#5.challenge	-0.00
	(0.13)
3.smartcat#2.agecat#6.challenge	0.03
	(0.13)
3.smartcat#2.agecat#7.challenge	-0.03
	(0.14)
3.smartcat#2.agecat#8.challenge	0.20
	(0.20)
3.smartcat#2.agecat#9.challenge	-0.09
	(0.25)
3.smartcat#2.agecat#10.challenge	0.26
	(0.20)
3.smartcat#2.agecat#97.challenge	-0.23**
	(0.11)
3o.smartcat#2o.agecat#98o.challenge	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.internet	0.00
	(0.00)
1b.smartcat#0b.agecat#1.internet	-0.01
	(0.08)
1b.smartcat#1o.agecat#0b.internet	0.00
	(0.00)
1b.smartcat#1.agecat#1.internet	0.00
	(0.08)
1b.smartcat#2o.agecat#0b.internet	0.00
	(0.00)
1b.smartcat#2.agecat#1.internet	-0.13
	(0.29)
2.smartcat#0b.agecat#0b.internet	0.07
	(0.06)
2o.smartcat#0b.agecat#1o.internet	0.00
	(0.00)
2.smartcat#1.agecat#0b.internet	-0.19***
	(0.04)
2o.smartcat#1o.agecat#1o.internet	0.00
	(0.00)
2.smartcat#2.agecat#0b.internet	-0.41***
	(0.04)
2o.smartcat#2o.agecat#1o.internet	0.00
	(0.00)
3.smartcat#0b.agecat#0b.internet	0.02
	(0.07)
3o.smartcat#0b.agecat#1o.internet	0.00
	(0.00)
3.smartcat#1.agecat#0b.internet	-0.29***
	(0.04)
3o.smartcat#1o.agecat#1o.internet	0.00
	(0.00)
3.smartcat#2.agecat#0b.internet	-0.19***
	(0.06)
3o.smartcat#2o.agecat#1o.internet	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.phone	0.00
	(0.00)
1b.smartcat#0b.agecat#1.phone	0.34***
	(0.06)
1b.smartcat#1o.agecat#0b.phone	0.00
	(0.00)
1b.smartcat#1.agecat#1.phone	0.18***
	(0.05)
1b.smartcat#2o.agecat#0b.phone	0.00
	(0.00)
1b.smartcat#2.agecat#1.phone	0.34***
	(0.11)
2.smartcat#0b.agecat#0b.phone	-0.06
	(0.08)
2o.smartcat#0b.agecat#1o.phone	0.00
	(0.00)
2.smartcat#1.agecat#0b.phone	0.05
	(0.06)
2o.smartcat#1o.agecat#1o.phone	0.00
	(0.00)
2.smartcat#2.agecat#0b.phone	-0.08
	(0.07)
2o.smartcat#2o.agecat#1o.phone	0.00
	(0.00)
3.smartcat#0b.agecat#0b.phone	-0.24***
	(0.08)
3o.smartcat#0b.agecat#1o.phone	0.00
	(0.00)
3.smartcat#1.agecat#0b.phone	-0.25***
	(0.05)
3o.smartcat#1o.agecat#1o.phone	0.00
	(0.00)
3.smartcat#2.agecat#0b.phone	-0.09
	(0.08)
3o.smartcat#2o.agecat#1o.phone	0.00
	(0.00)
